Title,Authors,Year,Journal,Keywords,Abstract,DOI,Publication Type
AI in Mental Health: A Review of Technological Advancements and Ethical,"Poudel, U",2025,ISSUES IN MENTAL HEALTH NURSING,,"Artificial intelligence (AI) is transforming digital health, its influence is expanding across multiple sectors, with mental health and psychiatric care emerging as key areas of transformation. While significant advancements have been made in medical AI, there remains a need to better understand how these technologies are integrated into clinical practice and what challenges they introduce. We examine the use of AI in identifying and treating mental health disorders, highlighting its impact on screening, diagnosis, and intervention strategies. Technologies such as natural language processing (NLP), machine learning (ML), and computer-delivered cognitive behavioral therapy (CBT) are discussed in the context of enhancing Clinical Decision Support Systems (CDSS). While these innovations promise increased efficiency and accessibility in psychiatric care, they also introduce ethical challenges, including concerns over privacy, bias, and reduced human interaction. Through a critical evaluation, we find that greater transparency, unbiased model development and unbiased AI systems that work hand in hand with human-led care should be encouraged. Our findings underscore the importance of continued research and regulation to ensure the responsible and effective deployment of medical AI services.",10.1080/01612840.2025.2502943,J
Visual Question Answering in Robotic Surgery: A Comprehensive Review,"Ding, D",2025,IEEE ACCESS,Surgery; Visualization; Robots; Real-time systems; Feature extraction;,"Visual Question Answering (VQA) in robotic surgery is rapidly becoming a pivotal technology in medical AI, addressing the complex challenge of interpreting multimodal surgical data to support real-time decision-making. This comprehensive review synthesizes key advancements in Surgical VQA, highlighting the integration of large language models (LLMs), multimodal fusion techniques, and visual grounding methods. By reviewing 62 key studies selected through a systematic search of major scientific databases, including IEEE Xplore, Google Scholar, SpringerLink, and PubMed, we trace the evolution of VQA systems and their application in surgical environments. Current limitations, including dataset scarcity, multimodal alignment challenges, and issues of interpretability, are critically examined. This survey aims to not only provide a structured overview of the field but also identify critical research gaps and propose future directions to enhance VQA systems for robotic surgery, with the ultimate goal of improving intraoperative performance and patient outcomes.",10.1109/ACCESS.2024.3525145,J
A foundational architecture for AI agents in healthcare,"Liu, F",,CELL REPORTS MEDICINE,,,,J
Decoding Trust in Artificial Intelligence: A Systematic Review of,"Aquilino, L",2025,INFORMATICS-BASEL,artificial intelligence; perceived trustworthiness; trust; machine,"As artificial intelligence (AI) becomes ubiquitous across various fields, understanding people's acceptance and trust in AI systems becomes essential. This review aims to identify quantitative measures used to measure trust in AI and the associated studied elements. Following the PRISMA guidelines, three databases were consulted, selecting articles published before December 2023. Ultimately, 45 articles out of 1283 were selected. Articles were included if they were peer-reviewed journal publications in English reporting empirical studies measuring trust in AI systems with multi-item questionnaires. Studies were analyzed through the lenses of cognitive and affective trust. We investigated trust definitions, questionnaires employed, types of AI systems, and trust-related constructs. Results reveal diverse trust conceptualizations and measurements. In addition, the studies covered a wide range of AI system types, including virtual assistants, content detection tools, chatbots, medical AI, robots, and educational AI. Overall, the studies show compatibility of cognitive or affective trust focus between theorization, items, experimental stimuli, and level of anthropomorphism of the systems. The review underlines the need to adapt measurement of trust in the specific characteristics of human-AI interaction, accounting for both the cognitive and affective sides. Trust definitions and measurement could be chosen depending also on the level of anthropomorphism of the systems and the context of application.",10.3390/informatics12030070,J
Artificial Intelligence-Driven Nephrology: The Role of Large Language,"Zoccali, C",,AMERICAN JOURNAL OF NEPHROLOGY,Artificial intelligence; Large language models; Nephrology; Kidney,"Background: Artificial intelligence (AI) increasingly impacts medicine and medical specialties, including nephrology. Technologies such as large language models (LLMs), decision-support AI, and machine learning-powered predictive analytics enhance clinical care. These AI-driven tools show great potential in areas such as predicting the risk of chronic kidney disease (CKD), managing dialysis, supporting kidney transplantation, and treating CKD and diabetes-related kidney issues. Summary: General AI platforms like ChatGPT, Bard, and Google Gemini are useful for education and synthesizing knowledge. In contrast, specialized medical AI systems such as KidneyIntelX and DreaMed Advisor provide clinically validated decision support systems that aid physicians in patient care. Retrieval-augmented generation (RAG) enhances LLMs by accessing real-time medical data and research insights, reducing misinformation risks, and ensuring accurate, verified medical responses. However, LLMs still face challenges in adapting to complex patient cases. The effectiveness of RAG depends on the quality of the data retrieved and adherence to ethical and confidentiality standards, with human oversight often necessary. Key Messages: (i) Improving AI accuracy, increasing model transparency, and ensuring seamless integration into clinical settings maximize AI benefits in nephrology. (ii) Regulatory approvals and validation are essential to build trust among patients, physicians, and healthcare institutions. (iii) When integrated correctly into clinical workflows, AI can transform nephrology practice by providing efficient, data-driven insights, improving patient outcomes, and reducing administrative burdens. (iv) Ethical, responsible adoption with stringent oversight is crucial for successfully implementing AI in nephrology.",,J
A hybrid literature review on handling imbalanced medical data: AI,"Siddavatam, KI",,EXPERT SYSTEMS WITH APPLICATIONS,Artificial Intelligence (AI); Class imbalance; Forest plot; Medical,,,J
A brief review of some artificial intelligence methods in nephrology,"Lemley, KV",,PEDIATRIC NEPHROLOGY,Machine learning; Nephropathology; Convolutional neural net; Large,"This brief, focused review considers two of the more commonly used artificial intelligence (AI) methods encountered in nephrology publications: machine vision based on convolutional neural networks (CNNs) and chatbots, such as ChatGPT, based on large language models. It is intended to offer a mostly non-technical, intuitive understanding of these methods, including their uses and limitations. CNNs have been used for some time to segment and classify important features of digitized kidney biopsy images. In addition to the identification of pathologic primitives, CNN approaches may be used to predict so-called sub-visual features of biopsies, such as kidney survival rates. Large language models are newer players in the medical AI field. Although seemingly easy to use as natural language tools, most currently available chatbots have been characterized by inconsistent performance, hallucinations, and even a higher CO2-footprint than CNN-based models.Graphical abstractA higher resolution version of the Graphical abstract is available as Supplementary information",,J
Harnessing Digital Health Technologies to Combat Climate Change-Related,"Li, YH",2025,HEALTH CARE SCIENCE,climate change; digital health technologies; health impact; healthcare,"Climate change poses a significant threat to global health. It exacerbates existing health challenges and generates new ones. Therefore, innovative solutions to mitigate and adapt to its adverse effects are urgently required. This article explores the potential of digital health technologies to address the challenge posed by climate change-related health issues. It discusses their dual functionality of diminishing the carbon footprint of healthcare services and increasing understanding and governance of climate-sensitive diseases. Notably, with advanced technologies such as Generative medical AI (GMAI) presenting environmental concerns like substantial energy consumption during data processing and the generation of electronic waste, it is essential to underscore the significance of their responsible development and implementation of these technologies. This will ensure that the benefits of digital health technologies can be maximized while minimizing their ecological drawbacks. This study, therefore propose, a framework for leveraging digital health technologies to support climate change adaptation, including disease surveillance, telemedicine, patient support systems, and public awareness campaigns.",10.1002/hcs2.70032,J
"The Financial, Operational, and Clinical Advantages of Generalist","Dogra, S",2025,RADIOLOGY,,"Despite the rapid growth of Food and Drug Administration-cleared artificial intelligence (AI)-and machine learning-enabled medical devices for use in radiology, current tools remain limited in scope, often focusing on narrow tasks and lacking the ability to comprehensively assist radiologists. These narrow AI solutions face limitations in financial sustainability, operational efficiency, and clinical utility, hindering widespread adoption and constraining their long-term value in radiology practice. Recent advances in generative and multimodal AI have expanded the scope of image interpretation, prompting discussions on the development of generalist medical AI. In this context, this review proposes the concept of generalist radiology AI (GRAI) and introduces key features for its implementation. GRAI aims to (a) create reports based on positive diagnoses, (b) tailor reports to indications for normal studies, (c) compare findings with prior imaging, (d) incorporate patient characteristics, and (e) provide uncertainty-informed, interactive recommendations. By consolidating image interpretation and expanding the incorporation of patient context, GRAI has the potential to overcome the limitations of narrow AI solutions, improve financial sustainability, streamline operational efficiency, and enhance clinical utility. Appropriate development of GRAI, building on these proposed features, is crucial for realizing the full potential of AI in radiology and enhancing diagnostic performance while reducing the clinical burden on radiologists.",10.1148/radiol.242362,J
The Emergence of Foundation Models in US Radiology: A Narrative Review,"Uppuluri, PC",2026,ACADEMIC RADIOLOGY,Foundation models; Radiology Artificial Intelligence; Vision-Language,"Foundation Models (FMs) mark a significant evolution in medical AI, enabling multimodal and multitask performance across text and imaging. Radiology, with its structured data formats and early adoption of AI, is uniquely positioned to benefit from FM capabilities. However, despite promising technical advances, questions remain about their clinical readiness, safety, and regulatory oversight. This narrative review explores the development, utility, and implementation challenges of FMs in U.S. radiology. Literature from PubMed, Scopus, arXiv, and IEEE Xplore (January 2022 to May 2025) was synthesized to highlight architectural trends, clinical applications, evaluation methods, and regulatory developments. U.S.-based models like CheXzero, BioMedCLIP, and Med-PaLM demonstrate strong diagnostic and reporting performance but face key limitations-including lack of FDA clearance, limited external validation, and integration barriers with PACS/RIS systems. Safety issues such as hallucination, automation bias, and underperformance in edge cases persist. While human-in-the-loop frameworks, federated learning, and emerging reporting standards show promise, institutional readiness and regulatory clarity remain fragmented. We propose a roadmap that includes continuous monitoring, equity-focused design, and a national FM registry to guide responsible deployment. Radiology's digital maturity makes it a critical testbed for foundational AI integration-offering lessons for broader clinical adoption.",10.1016/j.acra.2025.10.063,J
Institutionalizing convergence education for medical artificial,"Park, TI",2025,BIOMEDICAL ENGINEERING LETTERS,Medical AI education; Convergence curriculum; Modular program design;,"As artificial intelligence (AI) becomes increasingly central to modern healthcare, medical education must move beyond passive knowledge transfer and adopt a system-wide approach to convergence training. This narrative review shares a 5-year case study from Seoul National University College of Medicine (SNU Medicine), which developed a comprehensive, multi-level model for integrating AI into medical education. Instead of relying on pilot programs or piecemeal curriculum updates, SNU Medicine established a governance-driven, modular framework that includes institutional infrastructure, interdisciplinary teaching strategies, cross-campus credit integration, and alignment with national digital health policies. Based on this long-term case, we propose four key design principles-modularity, transdisciplinary alignment, infrastructure-curriculum coupling, and policy embeddedness-as a framework for creating scalable and sustainable convergence education in medical AI. While rooted in Korea's unique policy environment, this model provides transferable insights for medical institutions worldwide, particularly those operating within public or policy-constrained environments.",10.1007/s13534-025-00523-2,J
External Validation of AI Models for Skin Diseases: A Systematic Review,"Fernandes, TRS",2025,IEEE ACCESS,Artificial intelligence; Diseases; Skin; Data models; Dermatology;,"The increasing integration of Artificial Intelligence (AI) into dermatology holds significant potential to enhance the diagnosis and prognosis of skin diseases, which represent a considerable public health burden. While numerous AI models for skin conditions have been developed, their successful translation into real-world clinical practice critically depends on rigorous external validation to ensure generalizability and reliability beyond their development environment. Despite the growing recognition of external validation's importance in medical AI, a comprehensive synthesis specifically addressing this process for AI models in dermatology has been lacking. This systematic literature review aimed to identify and synthesize studies focused exclusively on the external validation of AI models for skin diseases, thereby assessing their clinical applicability, methodological robustness, and identifying key challenges. Following the PRISMA framework, a systematic search was conducted across five major digital libraries (ACM Digital Library, IEEE Xplore, Web of Science, PubMed, and Scopus). Study quality was assessed using a customized checklist, and data extraction focused on validation practices, model characteristics, targeted diseases, performance assessment, and identified limitations. The systematic study selection led to a detailed analysis of 41 studies. We observed a clear predominance of retrospective external validation studies focused on diagnostic models, while prognostic models and prospective validation designs were notably scarce. Although some models demonstrated promising performance in external validation, several critical limitations persist. These include the narrow representation of skin disease categories, lack of subgroup fairness analyses, small and imbalanced sample sizes, and insufficient standardization of data collection and evaluation metrics. These findings underscore the need for more rigorous and transparent validation frameworks to support the reliable integration of AI into dermatological practice.",10.1109/ACCESS.2025.3584904,J
Artificial Intelligence in Medicine: A Systematic Review of Guidelines,"Zrubka, Z",2025,ACTA POLYTECHNICA HUNGARICA,artificial intelligence; machine learning; medical studies; guideline;,"Reporting guidelines, developed for medical artificial intelligence (AI) studies, are structured tools that address general and/orAI-specific methodological and reporting issues. We aimed to systematically review published medical AI reporting guidelines and checklists, and evaluate aspects that can support the choice of the tool, in a particular research context. We searched PubMed, Scopus, and Web of Science thru February 2023, as well as, Citations and Google. From 821 records, and additional sources, 24 guidelines were identified (4 narrative guidelines, 7 general reporting checklists, 4 study design specific checklists, and 9 clinical area specific checklists). 13 studies reported the guideline development methods, 10 guidelines were registered in the Enhancing the QUAlity and Transparency Of health Research (EQUATOR) Network. In 224 sections, the guidelines contained 704 items in total. The number of items per checklist varied between 10 and 66. The guidelines' structure and level of detail varied significantly which makes difficult for researchers to follow how detailed and standardized a medical AI study design and report should be. The robustness of development process and support from the literature suggests that the AI extension of checklist for randomized controlled trials (CONSORT-AI guideline) as the most established tool. Such AI extensions of clinical study guidelines may not cover all the application fields of AI in medicine. In certain research contexts, an established checklist for main clinical study types, and a general AI-based checklist may be used in parallel to provide most useful guidance in designing, writing and interpreting medical AI studies.",,J
Challenges for Ethics Review Committees in Regulating Medical Artificial,"Esmaili, A",2025,INDIAN JOURNAL OF SURGICAL ONCOLOGY,Ethics committees; Artificial intelligence; Algorithmic bias; Data,"The integration of artificial intelligence (AI) into medical research poses significant challenges for Ethics Review Committees (ERCs), especially concerning clinical trials and ethical assessments. This review identifies 23 primary challenges ERCs encounter in regulating medical AI, categorized into five sections that explore limitations faced by ERCs, researchers, and regulatory bodies, along with the complexities of rapidly advancing AI technologies. Key issues include the intricacies of AI systems, risks related to personal data re-identification, and the impact of multi-subject data on algorithm outputs. Ethical concerns about algorithmic bias, data ownership, and AI commercialization are also highlighted. The variation in regulatory frameworks across regions further complicates these challenges, highlighting the urgent need for revised guidelines tailored to AI research. The article stresses the necessity for interdisciplinary collaboration and ethics education for all stakeholders in AI, advocating for continuous reviews and enhanced engagement to ensure informed consent and address potential unintended consequences. Ultimately, it calls for the adaptation of ethical oversight mechanisms to support innovation while upholding ethical standards in the quickly evolving field of medical AI.",10.1007/s13193-025-02229-4,J
Democratizing AI through model fusion: A comprehensive review and future,"Zhou, Q",,NEXUS,,"Rapid advancement of large language models is fundamentally constrained by the structural limits of centralized training, characterized by high costs and resource monopolization. Model fusion provides a scalable, resource-efficient alternative for integrating specialized models into a unified system, despite facing challenges related to compatibility and alignment. This review systematically analyzes the current landscape of fusion, classifying methodologies into parameter-level merging and knowledge distillation-based fusion. We focus on cutting-edge techniques that resolve challenges in model heterogeneity, semantic alignment, and scalability, highlighting frameworks such as InfiFusion, InfiGFusion, and InfiFPO, which demonstrate significant performance gains and unprecedented efficiency. Finally, we summarize applications in fields such as medical AI and delineate key future directions.",,J
A practical guide to the implementation of AI in orthopaedic,"Zsidai, B",2025,JOURNAL OF EXPERIMENTAL ORTHOPAEDICS,artificial intelligence; causal inference; data analysis; machine,"While the magnitude and types of data available to orthopaedic researchers are steadily growing, standardized and efficient data management workflows for orthopaedic research using artificial intelligence (AI) are currently lacking. This work introduces essential principles and best practices for planning, collecting, storing, processing, labelling and governing data in AI-based orthopaedic research. The various domains of available data quality guidelines for medical AI research are reviewed and discussed in terms of their adaptability to orthopaedic research datasets. In addition, future areas of improvement, such as registry development, the potential of synthetic data and gradual transition to continuous data streams for AI applications, are outlined.Level of Evidence Level V.",10.1002/jeo2.70581,J
Methodology of artificial intelligence. Basis for AI literacy in,"Tüshaus, L",,MONATSSCHRIFT KINDERHEILKUNDE,Children; Adolescents; Machine learning; Data Science; Literacy;,"Background: As part of the digitalization of the healthcare system there is currently a dynamic technological push through procedures of artificial intelligence (AI). In view of the impact on patients and physicians the benefits, risks and consequences of AI should be known and understood in order to be able to evaluate and to use the techniques. Objective: The fundamentals of AI are presented and an overview is given of the different methods of AI and the role of data required for this in pediatrics. It also addresses the specific challenges of pediatric data for AI. Conclusion: The use of AI will increasingly influence pediatric and adolescent medicine. Due to its scope and complexity, medical AI literacy is required that includes a basic understanding of AI methodology. Methodologically, a particular focus in pediatrics must be on the quality and suitability of the data used for AI systems.",,J
Essential Concepts in Artificial Intelligence: A Guide for Pediatric,"Bolivar, LEM",2025,CHILDREN-BASEL,artificial intelligence; machine learning; deep learning; pediatric,"Artificial intelligence (AI) has exploded in public awareness over recent years and is already beginning to reshape the health care sector. Yet, even as AI becomes more prevalent, it remains a mystery to many providers who lack hands-on exposure during their training or on the job. Intended for medical professionals, this article defines essential concepts in AI interspersed with illustrations of how such concepts may be applied within cardiology and radiology-fields that have garnered the most approved medical AI applications to date. No experience in the field of AI is requisite before reading. To assist providers encountering novel machine learning tools, we also present an AI model checklist to empower critical assessment. We finally discuss hurdles in the path of developing pediatric AI tools-including challenges distinct from the adult setting-and discuss potential solutions, including various methods of multisite collaboration. This article aims to increase the engagement of health care professionals who may encounter AI models in practice or who seek to become involved in AI development themselves. We encourage the reader the freedom to either peruse this article in its entirety or to reference specific concepts individually. Terminology central to machine learning is emphasized in bold.",10.3390/children12101386,J
Leveraging artificial intelligence for real-world evidence generation in,"Sagkriotis, A",2026,JOURNAL OF MEDICAL ARTIFICIAL INTELLIGENCE,Artificial intelligence (AI); real-world evidence (RWE); healthcare;,"Artificial intelligence (AI) is revolutionizing healthcare by enhancing real-world evidence (RWE) generation, clinical decision-making, and operational efficiency. Between 2019 and 2023, the number of medical AI publications increased 4.4-fold-from 1,480 to 6,450 articles-reflecting its accelerating adoption. Drawing on 58 professional reflections, this paper presents an integrative synthesis of AI applications across multiple therapeutic areas, including oncology, ophthalmology and dermatology. Furthermore, it illustrates use cases in predictive modelling, image analysis, protocol automation, drug discovery, and patient engagement. The narrative also discusses regulatory frameworks, methodological limitations, and ethical considerations. The growing adoption of AI by regulators such as European Medicines Agency (EMA) and Health Technology Assessment (HTA) bodies underscores the growing need for structured governance, transparency, and human oversight. This manuscript provides a real-world, cross-disciplinary perspective on AI's expanding role in healthcare evidence generation. Key findings of this review include the practical integration of AI in protocol automation, image-based diagnostics, social media insights, and regulatory modelling. The review concludes that AI, when responsibly governed, can significantly accelerate evidence generation while maintaining clinical relevance and ethical integrity. These insights may guide future research on explainable and scalable AI tools and inform clinical and policy frameworks to embed AI safely into real-world healthcare systems. In addition, this review distinguishes itself from existing literature by focusing not solely on technical performance but on lived implementation experience across cross-functional domains. By highlighting lessons learned, implementation pitfalls, and real-world adoption patterns, the review provides actionable intelligence for stakeholders beyond data scientists-such as policy makers, HTA assessors, and medical affairs professionals. For instance, the role of AI in automating unstructured data extraction or in generating HTA-relevant modelling scenarios is often underrepresented in traditional reviews. This paper attempts to close that gap. Furthermore, the paper highlights the complementary nature of AI with traditional statistical approaches and emphasizes the need for human-in-the-loop governance and explainability, especially in high-stakes regulatory or diagnostic contexts. These expanded insights can support more responsible adoption of AI technologies across healthcare systems globally.",10.21037/jmai-2025-157,J
Barriers and Facilitators to Patient Acceptance of Artificial,"Shi, HQ",2026,JOURNAL OF MEDICAL INTERNET RESEARCH,artificial intelligence; patients; barriers; facilitators; interventions,"Background: Artificial intelligence (AI) in the domain of health care is increasing in prominence. Acceptance is an indispensable prerequisite for the widespread implementation of AI. Objective: This study aimed to explore barriers and facilitators influencing patients' acceptance of AI. Methods: We conducted a systematic review following PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines. Nine databases, including PubMed, Web of Science, and Embase, were comprehensively searched from inception to December 23, 2025. We included qualitative, quantitative, and mixed methods studies investigating adult patients' attitudes toward medical AI. Two researchers independently screened records, extracted data, and appraised methodological quality using the Mixed Methods Appraisal Tool. Following the Joanna Briggs Institute convergent integrated approach, data synthesis was guided by integrating the Unified Theory of Acceptance and Use of Technology 2 (UTAUT2) and the Theoretical Domains Framework (TDF). Factors were mapped to behavior change techniques (BCTs) and evaluated for practical feasibility using the Affordability, Practicability, Effectiveness and cost-effectiveness, Acceptability, Side-effects/ safety, and Equity criteria. Results: A total of 61 studies met the inclusion criteria out of 7452 search results. Study designs included qualitative (n=20), quantitative (n=35), and mixed methods (n=6). Performance and effort expectancies were the primary determinants of acceptance. Major barriers comprised perceived operational complexity, lack of algorithmic trust, reduced interpersonal interaction, privacy vulnerabilities, and high costs. Facilitators included transparent data governance, interpretability of AI decisions, improved clinician-patient communication, and human-centered design. Education level and disease severity emerged as key moderating variables. Through UTAUT2-TDF mapping, we identified 25 distinct BCTs (6 high, 14 medium, and 5 low feasibility) and formulated 40 actionable intervention strategies. Conclusions: This study innovatively integrates the UTAUT2 and TDF frameworks to evaluate patient acceptance of medical AI. Unlike existing reviews that predominantly evaluate isolated psychosocial factors or purely technical attributes, this transtheoretical approach differentiates itself by merging technology adoption mechanisms directly with behavioral drivers. Consequently, it contributes to the field by systematically identifying multilevel factors influencing acceptance, including performance expectancy, effort expectancy, and ethical security, and translating these into 40 actionable BCTs. In real-world clinical practice, these findings provide a feasible, prioritized blueprint for clinicians and administrators to design patient-centered interventions, enhancing the clinical integration and long-term effectiveness of medical AI. Trial Registration: PROSPERO CRD42024598884; https://www.crd.york.ac.uk/PROSPERO/view/CRD42024598884",10.2196/80581,J
Medical biotechnology and artificial intelligence powered companion,"Sonar, P",,BIOTECHNOLOGY LETTERS,Medical biotechnology; Biosensors; Companion diagnostics; Artificial,"Medical biotechnology serves as a foundational platform for identifying disease markers and developing specific diagnostic assays. Complementing this, biosensors and medical devices translate these biomarkers into quantifiable signals enabling real-time health assessment. Artificial intelligence (AI) augments this framework by processing vast datasets to recognize patterns and generate predictive insights thereby aiding clinicians in decision-making and streamlining personalized disease management. The integration of molecular-based companion diagnostics, biosensor technology, and medical AI forms the cornerstone of contemporary, data-driven precision medicine. This review explores the synergistic convergence of these fields specifically examining how AI-based approaches enhance molecular diagnostics and biosensor devices to optimize clinical outcomes. This interdisciplinary collaboration facilitates advancing precision medicine. Consequently, these discovery technologies profoundly impact disease prevention, early diagnosis, and targeted therapeutic strategies. Despite challenges such as data privacy and technology accessibility, this cross-disciplinary approach holds tremendous potential for transforming the future of precision healthcare.",,J
Digital Telecommunications in Medicine and Biomedical Engineering:,"Karkanis, N",2026,ENG,telemedicine; telecommunications; Internet of Medical Things (IoMT);,"Digital telecommunications have become the backbone of modern healthcare, transforming how patients and professionals interact, share information, and deliver treatment. The integration of telecommunications with medicine, biomedical engineering and health services has enabled rapid growth in telemedicine, remote patient monitoring, wearable biomedical devices, and data-driven clinical decision-making. Emerging technologies such as artificial intelligence, big data analytics, virtual and augmented reality and robotic tele-surgery are further expanding the scope of digital health. This review provides a comprehensive overview of the role of telecommunications in medicine and biomedical engineering. We classify key applications, highlight enabling technologies and critically examine the challenges regarding interoperability, data security, latency, and cost. Finally, we discuss future directions, including 5G/6G networks, edge computing, and privacy-preserving medical AI, emphasizing the need for reliable and equitable access to telecommunications-enabled healthcare worldwide.",10.3390/eng7010019,J
Artificial Intelligence for Fibrosis Diagnosis in,"de Souza, NS",2026,DIAGNOSTICS,Metabolic-Dysfunction-Associated Steatotic Liver Disease; liver,"Background/Objectives: Artificial intelligence (AI) is an emerging technology for diagnosing liver fibrosis in Metabolic-Dysfunction-Associated Steatotic Liver Disease (MASLD), but a comprehensive synthesis of its performance is lacking. This systematic review (SR) aimed to evaluate the current evidence of AI models for diagnosing or staging liver fibrosis in patients with MASLD compared to conventional diagnostic tools. Methods: A comprehensive search was conducted in PubMed, Scopus, Web of Science, ScienceDirect, Embase, LILACS, IEEE Series, and Association for Computing Machinery (ACM). Primary studies applying AI to diagnose fibrosis in adults with MASLD were included. Risk of bias was assessed using the QUADAS-2 tool, and methodological reporting was evaluated according to the MINimum Information for Medical AI Reporting (MINIMAR) guideline. A narrative synthesis was performed, grouping studies by data type (clinical/laboratory vs. imaging) and summarizing diagnostic performance and clinical application. A frequency-based analysis was applied to identify the most recurrent predictive features, and an analysis of the AI architecture and application was reported. The review was registered in PROSPERO (CRD420251035919). Results: Twenty-one studies were included, encompassing 19,221 patients and 5237 images. Across studies, AI models consistently outperformed non-invasive scores such as Fibrosis-4 Index (FIB-4) and NAFLD Fibrosis Score (NFS). The most frequent predictive variables were identified. Despite an overall low risk of bias, methodological transparency and external validation were limited. Conclusions: AI is feasible for the non-invasive diagnosis of liver fibrosis in MASLD, demonstrating superior accuracy to standard clinical scores. Broader clinical application is limited by the lack of external validation and high heterogeneity among the studies. Prospective validation in diverse, multicenter cohorts is essential before AI can be integrated into routine clinical practice.",10.3390/diagnostics16020261,J
"Ethical, legal, and social implications of AI-enabled digital","Fukuda, Y",2026,DIGITAL HEALTH,therapeutic AI; digital therapeutics (DTx); ELSI; EU AI act; Japan;,"Digital therapeutics (DTx) and other forms of therapeutic artificial intelligence (AI) are becoming increasingly embedded in healthcare systems and everyday health practices. Unlike earlier forms of medical AI, which mainly support diagnostic decision-making, therapeutic AI systems interact continuously with patients and may influence health-related behaviour over time. These characteristics raise ethical, legal, and social implications (ELSI) that extend beyond conventional concerns about safety, efficacy, and algorithmic performance. This article examines how such concerns are translated into institutional practice by reconceptualizing ELSI as governance infrastructure. Drawing on a narrative review combined with comparative institutional analysis, it analyses regulatory frameworks, policy documents, and governance arrangements in two advanced digital health jurisdictions: the European Union and Japan. The analysis identifies two distinct governance models. The European Union has developed a layered regulatory framework in which the Artificial Intelligence Act operates alongside the Medical Device Regulation, the General Data Protection Regulation, and emerging health-data governance initiatives. Japan, by contrast, governs therapeutic AI primarily through sectoral legislation centred on the Pharmaceuticals and Medical Devices Act, complemented by administrative guidance and professional mediation. These approaches illustrate different ways of embedding ELSI within digital health governance. The EU model emphasizes codified ex ante obligations and legally binding compliance mechanisms, whereas the Japanese model places greater weight on adaptive oversight and post-market learning. Effective governance of therapeutic AI, the article argues, requires institutional infrastructures capable of addressing behavioural influence, lifecycle change, and accountability across AI-enabled therapeutic systems.",10.1177/20552076261444907,J
Bias recognition and mitigation strategies in artificial intelligence,"Hasanzadeh, F",2025,NPJ DIGITAL MEDICINE,,"Artificial intelligence (AI) is delivering value across all aspects of clinical practice. However, bias may exacerbate healthcare disparities. This review examines the origins of bias in healthcare AI, strategies for mitigation, and responsibilities of relevant stakeholders towards achieving fair and equitable use. We highlight the importance of systematically identifying bias and engaging relevant mitigation activities throughout the AI model lifecycle, from model conception through to deployment and longitudinal surveillance.",10.1038/s41746-025-01503-7,J
